,ID,done,Name,rss,tags,region,status,notes,last_scraped,total_scraped,element_name,attribute_name,attribute_content,URL,Projects
133,81194,done,American Electric Power,https://www.aep.com/news/rss,,,,,,,div,id,MainContent,http://influencemap.org/company/American-Electric-Power,Climate Change
134,81195,done,ArcelorMittal,,,,,,,,,,,http://influencemap.org/company/ArcelorMittal-c6dfbde97d6da50fe5027ac1534b42f6,Climate Change
135,81196,done,Archer Daniels Midland,,,,,,,,,,,http://influencemap.org/company/Archer-Daniels-Midland,Climate Change
136,81197,done,Canadian Natural Resources,,,,,,,,,,,http://influencemap.org/company/Canadian-Natural-Resources,Climate Change
137,81199,done,Danone,,,,,,,,,,,http://influencemap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f,Climate Change
138,81200,done,Dominion Energy,https://investors.dominionenergy.com/rss/pressrelease.aspx,,,,,,,div,class,module_body,http://influencemap.org/company/Dominion-Resources,Climate Change
139,81201,done,Ecolab,,,,,,,,,,,http://influencemap.org/company/Ecolab-3e8ff5f8e05c644b33d6dc05789a30bf,Climate Change
140,81202,done,Edison International,,,,,,,,,,,http://influencemap.org/company/Edison-International,Climate Change
141,81203,done,Enbridge,,,,,,,,,,,http://influencemap.org/company/Enbridge-fa83bd6f5cc0d0fbd7aa37c2cbd4c527,Climate Change
142,81204,done,Exelon,https://investors.exeloncorp.com/rss/news-releases.xml,,,,,,,article,role,article,http://influencemap.org/company/Exelon-2a6102daca399022d97122c9e389d53f,Climate Change
143,81205,done,Facebook,https://investor.fb.com/rss/PressRelease.aspx?LanguageId=1&CategoryWorkflowId=00000000-0000-0000-0000-000000000000&tags=,,,,,,,div,class,xn-content,http://influencemap.org/company/Facebook-ffb0b8e1f69795c122a866ab673751f9,Climate Change
144,81206,done,Naturgy (Gas Natural Fenosa),,,,,,,,,,,http://influencemap.org/company/Gas-Natural-Fenosa,Climate Change
145,81207,done,Engie,,,,,,,,,,,http://influencemap.org/company/Engie-15788432cdf2e77819cea97f29fee349,Climate Change
146,81208,done,Glencore International,https://www.glencore.com/newsFeed,,,,,,,div,class,main__content col,http://influencemap.org/company/Glencore-International,Climate Change
147,81210,done,JFE Holdings,,,,,,,,,,,http://influencemap.org/company/JFE-Holdings,"Climate Change, Energy Strategy"
148,81211,done,Lockheed Martin,https://news.lockheedmartin.com/news-releases?pagetemplate=rss,,,,,,,div,class,wd_content,http://influencemap.org/company/Lockheed-Martin,Climate Change
149,81212,done,Monsanto,,,,,,,,,,,http://influencemap.org/company/Monsanto-f60f770b31a8987d475d554004b14660,Climate Change
150,81213,done,NextEra Energy,,,,,,,,,,,http://influencemap.org/company/NextEra-Energy,Climate Change
151,81214,done,Nippon Steel & Sumitomo Metal,https://www.nipponsteel.com/xml.jsp?id=130932,,,,,,,div,class,contents,http://influencemap.org/company/Nippon-Steel-Sumitomo-Metal,"Climate Change, Energy Strategy"
152,81215,done,Pacific Gas & Electric Company (PG&E),https://www.pge.com/en/about/newsroom/rss/feed/index.page,,,,,,,div,class,an_c5-col-left,http://influencemap.org/company/PG-E,Climate Change
153,81216,done,Posco,,,,,,,,,,,http://influencemap.org/company/Posco-5145b6d6876189c01199c8a1ca293453,Climate Change
154,81218,done,PPL Corporation,https://pplweb.mediaroom.com/news-releases?pagetemplate=rss,,,,,,,div,id,wd_printable_content,http://influencemap.org/company/PPL-c48beacbf617cf90aa83d1453b246a9a,Climate Change
155,81219,done,Praxair,,,,,,,,,,,http://influencemap.org/company/Praxair-05b778ee42f4f6298a4a588c619ab4cb,Climate Change
156,81220,done,Public Service Enterprise Group,,,,,,,,,,,http://influencemap.org/company/Public-Service-Enterprise-Group,Climate Change
157,81221,done,Reckitt Benckiser Group,,,,,,,,,,,http://influencemap.org/company/Reckitt-Benckiser-Group,Climate Change
158,81222,done,Renault,,,,,,,,,,,http://influencemap.org/company/Renault-da6a2597b9d24c063ad54d8be696efdf,"Climate Change, NOX"
159,81223,done,Repsol,,,,,,,,,,,http://influencemap.org/company/Repsol-8752a6719f097064bf8688b57d17370e,Climate Change
160,81224,done,Saint-Gobain,https://www.saint-gobain.com/en/rss-feed.xml,,,,,,,main,id,main,http://influencemap.org/company/Saint-Gobain-b9bb48993279c06f4444b6cbf536ca03,Climate Change
161,81225,done,Sasol,,,,,,,,,,,http://influencemap.org/company/Sasol-901b3e373efd487e596441367fe72a2c,Climate Change
